ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
198,01202,tb pleurisy-exam unkn,"tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
199,01203,tb pleurisy-micro dx,"tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
200,01204,tb pleurisy-cult dx,"tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
201,01205,tb pleurisy-histolog dx,"tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
202,01206,tb pleurisy-oth test,"tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
203,01210,tb thoracic nodes-unspec,"tuberculosis of intrathoracic lymph nodes, unspecified"
204,01211,tb thorax node-no exam,"tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
205,01212,tb thorax node-exam unkn,"tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
206,01213,tb thorax node-micro dx,"tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
207,01214,tb thorax node-cult dx,"tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
208,01215,tb thorax node-histo dx,"tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
209,01216,tb thorax node-oth test,"tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
210,01220,isol tracheal tb-unspec,"isolated tracheal or bronchial tuberculosis, unspecified"
211,01221,isol tracheal tb-no exam,"isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
212,01222,isol trach tb-exam unkn,"isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
213,01223,isolat trach tb-micro dx,"isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
214,01224,isol tracheal tb-cult dx,"isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
215,01225,isolat trach tb-histo dx,"isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
216,01226,isolat trach tb-oth test,"isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
217,01230,tb laryngitis-unspec,"tuberculous laryngitis, unspecified"
218,01231,tb laryngitis-no exam,"tuberculous laryngitis, bacteriological or histological examination not done"
219,01232,tb laryngitis-exam unkn,"tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
220,01233,tb laryngitis-micro dx,"tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
221,01234,tb laryngitis-cult dx,"tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
222,01235,tb laryngitis-histo dx,"tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
604,01792,tb organ nec-exam unkn,"tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)"
223,01236,tb laryngitis-oth test,"tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
224,01280,resp tb nec-unspec,"other specified respiratory tuberculosis, unspecified"
225,01281,resp tb nec-no exam,"other specified respiratory tuberculosis, bacteriological or histological examination not done"
226,01282,resp tb nec-exam unkn,"other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
227,01283,resp tb nec-micro dx,"other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
228,01284,resp tb nec-cult dx,"other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
229,01285,resp tb nec-histo dx,"other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
230,01286,resp tb nec-oth test,"other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
231,01300,tb meningitis-unspec,"tuberculous meningitis, unspecified"
232,01301,tb meningitis-no exam,"tuberculous meningitis, bacteriological or histological examination not done"
233,0010,cholera d/t vib cholerae,cholera due to vibrio cholerae
234,0011,cholera d/t vib el tor,cholera due to vibrio cholerae el tor
235,0019,cholera nos,"cholera, unspecified"
236,0020,typhoid fever,typhoid fever
237,0021,paratyphoid fever a,paratyphoid fever a
238,0022,paratyphoid fever b,paratyphoid fever b
239,0023,paratyphoid fever c,paratyphoid fever c
240,0029,paratyphoid fever nos,"paratyphoid fever, unspecified"
241,0030,salmonella enteritis,salmonella gastroenteritis
242,0031,salmonella septicemia,salmonella septicemia
243,00320,local salmonella inf nos,"localized salmonella infection, unspecified"
244,00321,salmonella meningitis,salmonella meningitis
245,00322,salmonella pneumonia,salmonella pneumonia
246,00323,salmonella arthritis,salmonella arthritis
247,00324,salmonella osteomyelitis,salmonella osteomyelitis
248,00329,local salmonella inf nec,other localized salmonella infections
249,0038,salmonella infection nec,other specified salmonella infections
250,0039,salmonella infection nos,"salmonella infection, unspecified"
251,0040,shigella dysenteriae,shigella dysenteriae
252,0041,shigella flexneri,shigella flexneri
253,0042,shigella boydii,shigella boydii
254,0043,shigella sonnei,shigella sonnei
255,0048,shigella infection nec,other specified shigella infections
256,0049,shigellosis nos,"shigellosis, unspecified"
257,0050,staph food poisoning,staphylococcal food poisoning
258,0051,botulism food poisoning,botulism food poisoning
259,0052,food pois d/t c. perfrin,food poisoning due to clostridium perfringens (c. welchii)
260,0053,food pois: clostrid nec,food poisoning due to other clostridia
261,0054,food pois: v. parahaem,food poisoning due to vibrio parahaemolyticus
262,00581,food poisn d/t v. vulnif,food poisoning due to vibrio vulnificus
263,00589,bact food poisoning nec,other bacterial food poisoning
264,0059,food poisoning nos,"food poisoning, unspecified"
265,0060,ac amebiasis w/o abscess,acute amebic dysentery without mention of abscess
266,0061,chr amebiasis w/o absces,chronic intestinal amebiasis without mention of abscess
267,0062,amebic nondysent colitis,amebic nondysenteric colitis
268,01676,tb fem gen nec-oth test,"tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
269,01690,gu tb nos-unspec,"genitourinary tuberculosis, unspecified, unspecified"
270,01691,gu tb nos-no exam,"genitourinary tuberculosis, unspecified, bacteriological or histological examination not done"
271,01692,gu tb nos-exam unkn,"genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
272,01693,gu tb nos-micro dx,"genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
273,01694,gu tb nos-cult dx,"genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
274,01695,gu tb nos-histo dx,"genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
275,01696,gu tb nos-oth test,"genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
276,01700,tb skin/subcutan-unspec,"tuberculosis of skin and subcutaneous cellular tissue, unspecified"
277,01701,tb skin/subcut-no exam,"tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done"
278,01702,tb skin/subcut-exam unkn,"tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)"
279,01703,tb skin/subcut-micro dx,"tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy"
280,01704,tb skin/subcut-cult dx,"tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
281,01705,tb skin/subcut-histo dx,"tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
282,01706,tb skin/subcut-oth test,"tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
283,01710,erythema nodos tb-unspec,"erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified"
284,01711,erythem nodos tb-no exam,"erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done"
285,01712,erythem nod tb-exam unkn,"erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)"
286,01713,erythem nod tb-micro dx,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy"
287,01714,erythem nodos tb-cult dx,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
288,01715,erythem nod tb-histo dx,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1,01716,erythem nod tb-oth test,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
2,01720,tb periph lymph-unspec,"tuberculosis of peripheral lymph nodes, unspecified"
3,01721,tb periph lymph-no exam,"tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
4,01722,tb periph lymph-exam unk,"tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)"
5,01723,tb periph lymph-micro dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
6,01724,tb periph lymph-cult dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
7,01725,tb periph lymph-histo dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
8,01726,tb periph lymph-oth test,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
9,01730,tb of eye-unspec,"tuberculosis of eye, unspecified"
10,01731,tb of eye-no exam,"tuberculosis of eye, bacteriological or histological examination not done"
11,01732,tb of eye-exam unkn,"tuberculosis of eye, bacteriological or histological examination unknown (at present)"
12,01733,tb of eye-micro dx,"tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy"
13,01734,tb of eye-cult dx,"tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
14,01735,tb of eye-histo dx,"tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
15,01736,tb of eye-oth test,"tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
16,01740,tb of ear-unspec,"tuberculosis of ear, unspecified"
17,01741,tb of ear-no exam,"tuberculosis of ear, bacteriological or histological examination not done"
18,01742,tb of ear-exam unkn,"tuberculosis of ear, bacteriological or histological examination unknown (at present)"
19,01743,tb of ear-micro dx,"tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
20,01744,tb of ear-cult dx,"tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
21,01745,tb of ear-histo dx,"tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
22,01746,tb of ear-oth test,"tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
23,01750,tb of thyroid-unspec,"tuberculosis of thyroid gland, unspecified"
24,01751,tb of thyroid-no exam,"tuberculosis of thyroid gland, bacteriological or histological examination not done"
25,01752,tb of thyroid-exam unkn,"tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
26,01753,tb of thyroid-micro dx,"tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
27,01754,tb of thyroid-cult dx,"tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
28,01755,tb of thyroid-histo dx,"tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
29,01756,tb of thyroid-oth test,"tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
30,01760,tb of adrenal-unspec,"tuberculosis of adrenal glands, unspecified"
31,01761,tb of adrenal-no exam,"tuberculosis of adrenal glands, bacteriological or histological examination not done"
32,01762,tb of adrenal-exam unkn,"tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
33,01763,tb of adrenal-micro dx,"tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
34,01764,tb of adrenal-cult dx,"tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
35,01765,tb of adrenal-histo dx,"tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
36,01766,tb of adrenal-oth test,"tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
37,01770,tb of spleen-unspec,"tuberculosis of spleen, unspecified"
38,01771,tb of spleen-no exam,"tuberculosis of spleen, bacteriological or histological examination not done"
39,01772,tb of spleen-exam unkn,"tuberculosis of spleen, bacteriological or histological examination unknown (at present)"
40,01773,tb of spleen-micro dx,"tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
41,01774,tb of spleen-cult dx,"tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
42,01775,tb of spleen-histo dx,"tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
43,01776,tb of spleen-oth test,"tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
44,01780,tb esophagus-unspec,"tuberculosis of esophagus, unspecified"
45,01781,tb esophagus-no exam,"tuberculosis of esophagus, bacteriological or histological examination not done"
46,01782,tb esophagus-exam unkn,"tuberculosis of esophagus, bacteriological or histological examination unknown (at present)"
47,01783,tb esophagus-micro dx,"tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy"
48,01784,tb esophagus-cult dx,"tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
49,01785,tb esophagus-histo dx,"tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
50,01786,tb esophagus-oth test,"tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
51,01790,tb of organ nec-unspec,"tuberculosis of other specified organs, unspecified"
52,01791,tb of organ nec-no exam,"tuberculosis of other specified organs, bacteriological or histological examination not done"
53,0063,amebic liver abscess,amebic liver abscess
54,0064,amebic lung abscess,amebic lung abscess
55,0065,amebic brain abscess,amebic brain abscess
56,0066,amebic skin ulceration,amebic skin ulceration
57,0068,amebic infection nec,amebic infection of other sites
58,0069,amebiasis nos,"amebiasis, unspecified"
59,0070,balantidiasis,balantidiasis
60,0071,giardiasis,giardiasis
61,0072,coccidiosis,coccidiosis
62,0073,intest trichomoniasis,intestinal trichomoniasis
63,0074,cryptosporidiosis,cryptosporidiosis
64,0075,cyclosporiasis,cyclosporiasis
65,0078,protozoal intest dis nec,other specified protozoal intestinal diseases
66,0079,protozoal intest dis nos,unspecified protozoal intestinal disease
67,00800,intest infec e coli nos,"intestinal infection due to e. coli, unspecified"
68,00801,int inf e coli entrpath,intestinal infection due to enteropathogenic e. coli
69,00802,int inf e coli entrtoxgn,intestinal infection due to enterotoxigenic e. coli
70,00803,int inf e coli entrnvsv,intestinal infection due to enteroinvasive e. coli
71,00804,int inf e coli entrhmrg,intestinal infection due to enterohemorrhagic e. coli
72,00809,int inf e coli spcf nec,intestinal infection due to other intestinal e. coli infections
73,0081,arizona enteritis,intestinal infection due to arizona group of paracolon bacilli
74,0082,aerobacter enteritis,intestinal infection due to aerobacter aerogenes
75,0083,proteus enteritis,intestinal infection due to proteus (mirabilis) (morganii)
76,00841,staphylococc enteritis,intestinal infection due to staphylococcus
77,00842,pseudomonas enteritis,intestinal infection due to pseudomonas
78,00843,int infec campylobacter,intestinal infection due to campylobacter
79,00844,int inf yrsnia entrcltca,intestinal infection due to yersinia enterocolitica
80,00845,int inf clstrdium dfcile,intestinal infection due to clostridium difficile
81,00846,intes infec oth anerobes,intestinal infection due to other anaerobes
82,00847,int inf oth grm neg bctr,intestinal infection due to other gram-negative bacteria
83,00849,bacterial enteritis nec,intestinal infection due to other organisms
84,0085,bacterial enteritis nos,"bacterial enteritis, unspecified"
85,00861,intes infec rotavirus,enteritis due to rotavirus
86,00862,intes infec adenovirus,enteritis due to adenovirus
87,00863,int inf norwalk virus,enteritis due to norwalk virus
88,00864,int inf oth sml rnd vrus,enteritis due to other small round viruses [srv's]
89,00865,enteritis d/t calicivirs,enteritis due to calicivirus
90,00866,intes infec astrovirus,enteritis due to astrovirus
91,00867,int inf enterovirus nec,enteritis due to enterovirus nec
92,00869,other viral intes infec,enteritis due to other viral enteritis
93,0088,viral enteritis nos,"intestinal infection due to other organism, not elsewhere classified"
94,0090,infectious enteritis nos,"infectious colitis, enteritis, and gastroenteritis"
95,0091,enteritis of infect orig,"colitis, enteritis, and gastroenteritis of presumed infectious origin"
96,0092,infectious diarrhea nos,infectious diarrhea
97,0093,diarrhea of infect orig,diarrhea of presumed infectious origin
98,01000,prim tb complex-unspec,"primary tuberculous infection, unspecified"
99,01001,prim tb complex-no exam,"primary tuberculous infection, bacteriological or histological examination not done"
100,01002,prim tb complex-exm unkn,"primary tuberculous infection, bacteriological or histological examination unknown (at present)"
101,01003,prim tb complex-micro dx,"primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
102,01004,prim tb complex-cult dx,"primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
103,01005,prim tb complex-histo dx,"primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
104,01006,prim tb complex-oth test,"primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
105,01010,prim tb pleurisy-unspec,"tuberculous pleurisy in primary progressive tuberculosis, unspecified"
106,01011,prim tb pleurisy-no exam,"tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
107,01012,prim tb pleur-exam unkn,"tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
108,01013,prim tb pleuris-micro dx,"tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
109,01014,prim tb pleurisy-cult dx,"tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
110,01015,prim tb pleuris-histo dx,"tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
111,01016,prim tb pleuris-oth test,"tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
112,01080,prim prog tb nec-unspec,"other primary progressive tuberculosis, unspecified"
113,01081,prim prog tb nec-no exam,"other primary progressive tuberculosis, bacteriological or histological examination not done"
114,01082,prim pr tb nec-exam unkn,"other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
115,01083,prim prg tb nec-micro dx,"other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
116,01084,prim prog tb nec-cult dx,"other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
117,01085,prim prg tb nec-histo dx,"other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
118,01086,prim prg tb nec-oth test,"other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
119,01090,primary tb nos-unspec,"primary tuberculous infection, unspecified, unspecified"
120,01091,primary tb nos-no exam,"primary tuberculous infection, unspecified, bacteriological or histological examination not done"
121,01092,primary tb nos-exam unkn,"primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
122,01093,primary tb nos-micro dx,"primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
123,01094,primary tb nos-cult dx,"primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
124,01095,primary tb nos-histo dx,"primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
125,01096,primary tb nos-oth test,"primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
126,01100,tb lung infiltr-unspec,"tuberculosis of lung, infiltrative, unspecified"
127,01101,tb lung infiltr-no exam,"tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
128,01102,tb lung infiltr-exm unkn,"tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
129,01103,tb lung infiltr-micro dx,"tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
130,01104,tb lung infiltr-cult dx,"tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
131,01105,tb lung infiltr-histo dx,"tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
132,01106,tb lung infiltr-oth test,"tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
133,01110,tb lung nodular-unspec,"tuberculosis of lung, nodular, unspecified"
134,01111,tb lung nodular-no exam,"tuberculosis of lung, nodular, bacteriological or histological examination not done"
135,01112,tb lung nodul-exam unkn,"tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
136,01113,tb lung nodular-micro dx,"tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
137,01114,tb lung nodular-cult dx,"tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
138,01115,tb lung nodular-histo dx,"tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
139,01116,tb lung nodular-oth test,"tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
140,01120,tb lung w cavity-unspec,"tuberculosis of lung with cavitation, unspecified"
141,01121,tb lung w cavity-no exam,"tuberculosis of lung with cavitation, bacteriological or histological examination not done"
142,01122,tb lung cavity-exam unkn,"tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
143,01123,tb lung w cavit-micro dx,"tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
144,01124,tb lung w cavity-cult dx,"tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
145,01125,tb lung w cavit-histo dx,"tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
146,01126,tb lung w cavit-oth test,"tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
147,01130,tb of bronchus-unspec,"tuberculosis of bronchus, unspecified"
148,01131,tb of bronchus-no exam,"tuberculosis of bronchus, bacteriological or histological examination not done"
149,01132,tb of bronchus-exam unkn,"tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
150,01133,tb of bronchus-micro dx,"tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
151,01134,tb of bronchus-cult dx,"tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
152,01135,tb of bronchus-histo dx,"tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
153,01136,tb of bronchus-oth test,"tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
154,01140,tb lung fibrosis-unspec,"tuberculous fibrosis of lung, unspecified"
155,01141,tb lung fibrosis-no exam,"tuberculous fibrosis of lung, bacteriological or histological examination not done"
156,01142,tb lung fibros-exam unkn,"tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
157,01143,tb lung fibros-micro dx,"tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
158,01144,tb lung fibrosis-cult dx,"tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
159,01145,tb lung fibros-histo dx,"tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
160,01146,tb lung fibros-oth test,"tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
161,01150,tb bronchiectasis-unspec,"tuberculous bronchiectasis, unspecified"
162,01151,tb bronchiect-no exam,"tuberculous bronchiectasis, bacteriological or histological examination not done"
